Year,Bicycle Not Invloved,Biycle Involved
2000,"10,259",35
2001,"8,978",27
2002,"9,199",16
2003,"11,378",30
2004,"11,369",27
2005,"10,298",32
2006,"10,393",32
2007,"10,251",46
2008,"10,108",35
2009,"10,024",35
2010,"9,909",33
2011,"10,545",43
2012,"11,204",48
2013,"11,580",44
2014,"11,945",31
2015,"12,890",37
2016,"13,776",42
2017,"13,908",33
2018,"14,732",44
2019,"15,088",38
2020,"10,629",26
2021,"12,216",29
Grand Total,"250,679",763
