Year,Street,Cross Reference,AADT,Total Coll,Prop Damage Coll,Total Injury Coll,Major Injury Coll,Minor Injury Coll,Fatal Coll,# of Injuries,# of Fatalities,Collision Rate,Prop Damage Rate,Injury Coll Rate,Minor Inj Rate,Major Inj Rate,Fatal Coll Rate,HSIP Safety Index
2000,"ARCTIC BOULEVARD, ANCHORAGE","ARCTIC SPUR ROAD, ANCHORAGE",11200,10,8,2,0,2,0,4,0,2.44,1.95,0.49,0.49,0,0,1.77
2000,"ARCTIC BOULEVARD, ANCHORAGE","CHUGACH WAY, ANCHORAGE",18300,12,9,3,0,3,0,3,0,1.79,1.34,0.45,0.45,0,0,1.5
2000,"ARCTIC BOULEVARD, ANCHORAGE","HOWARD HOLTON COURT, ANCHORAGE",13000,4,4,0,0,0,0,0,0,0.84,0.84,0,0,0,0,0
2000,"ARCTIC BOULEVARD, ANCHORAGE","RASPBERRY ROAD, ANCHORAGE",13000,3,2,1,0,1,0,1,0,0.63,0.42,0.21,0.21,0,0,0.38
2000,"ARCTIC BOULEVARD, ANCHORAGE","WEST 17TH AVENUE, ANCHORAGE",6000,2,2,0,0,0,0,0,0,0.92,0.92,0,0,0,0,0.56
2000,"ARCTIC BOULEVARD, ANCHORAGE","WEST 27TH AVENUE, ANCHORAGE",12100,6,6,0,0,0,0,0,0,1.35,1.35,0,0,0,0,0.81
2000,"ARCTIC BOULEVARD, ANCHORAGE","WEST 30TH AVENUE, ANCHORAGE (SOUTH SIDE)",17800,4,4,0,0,0,0,0,0,0.61,0.61,0,0,0,0,0
2000,"ARCTIC BOULEVARD, ANCHORAGE","WEST 31ST AVENUE, ANCHORAGE",15500,2,2,0,0,0,0,0,0,0.36,0.36,0,0,0,0,0.28
2000,"ARCTIC BOULEVARD, ANCHORAGE","WEST 32ND AVENUE, ANCHORAGE",15400,2,2,0,0,0,0,0,0,0.35,0.35,0,0,0,0,0.28
2000,"ARCTIC BOULEVARD, ANCHORAGE","WEST 34TH AVENUE, ANCHORAGE (NORTH SIDE)",13900,5,3,2,0,2,0,3,0,0.98,0.59,0.39,0.39,0,0,0.76
2000,"ARCTIC BOULEVARD, ANCHORAGE","WEST 36TH AVENUE, ANCHORAGE",32900,20,18,2,0,2,0,2,0,1.65,1.49,0.16,0.16,0,0,0.96
2000,"ARCTIC BOULEVARD, ANCHORAGE","WEST 41ST AVENUE, ANCHORAGE",14700,8,5,3,0,3,0,6,0,1.49,0.93,0.56,0.56,0,0,0.93
2000,"ARCTIC BOULEVARD, ANCHORAGE","WEST 45TH AVENUE, ANCHORAGE",17100,1,0,1,0,1,0,2,0,0.16,0,0.16,0.16,0,0,0.13
2000,"ARCTIC BOULEVARD, ANCHORAGE","WEST 58TH AVENUE, ANCHORAGE (SOUTH SIDE)",13200,4,2,2,0,2,0,2,0,0.83,0.42,0.41,0.41,0,0,0.63
2000,"ARCTIC BOULEVARD, ANCHORAGE","WEST 76TH AVENUE, ANCHORAGE",14500,8,7,1,0,1,0,1,0,1.51,1.32,0.19,0.19,0,0,0.94
2000,"ARCTIC BOULEVARD, ANCHORAGE","WEST 89TH AVENUE, ANCHORAGE",2600,2,2,0,0,0,0,0,0,2.1,2.1,0,0,0,0,0.84
2000,"ARCTIC BOULEVARD, ANCHORAGE","WEST BENSON BOULEVARD, ANCHORAGE",36600,23,17,6,0,6,0,6,0,1.72,1.27,0.45,0.45,0,0,1.1
2000,"ARCTIC BOULEVARD, ANCHORAGE","WEST DIMOND BOULEVARD, ANCHORAGE",48400,35,31,4,0,4,0,7,0,1.98,1.75,0.23,0.23,0,0,1.22
2000,"ARCTIC BOULEVARD, ANCHORAGE","WEST FIREWEED LANE, ANCHORAGE",19300,16,13,3,0,3,0,3,0,2.26,1.84,0.42,0.42,0,0,1.18
2000,"ARCTIC BOULEVARD, ANCHORAGE","WEST INTERNATIONAL AIRPORT ROAD, ANCHORAGE",36500,17,12,5,0,5,0,8,0,1.27,0.9,0.37,0.37,0,0,0.76
2000,"ARCTIC BOULEVARD, ANCHORAGE","WEST NORTHERN LIGHTS BOULEVARD, ANCHORAGE",33200,19,15,4,0,4,0,6,0,1.56,1.23,0.33,0.33,0,0,0.99
2000,"ARCTIC BOULEVARD, ANCHORAGE","WEST POTTER DRIVE, ANCHORAGE (SOUTH SIDE)",16900,4,3,1,0,1,0,1,0,0.65,0.49,0.16,0.16,0,0,0.42
2000,"ARCTIC BOULEVARD, ANCHORAGE","WEST TUDOR ROAD, ANCHORAGE",44700,19,15,4,0,4,0,7,0,1.15,0.91,0.24,0.24,0,0,0.71
2000,"ARLENE STREET, ANCHORAGE","WEST 88TH AVENUE, ANCHORAGE",11300,2,1,1,0,1,0,1,0,0.48,0.24,0.24,0.24,0,0,0.41
2000,"ARLENE STREET, ANCHORAGE","WEST DIMOND BOULEVARD, ANCHORAGE",29000,15,12,3,0,3,0,3,0,1.41,1.13,0.28,0.28,0,0,0.8
2000,"AUSTIN STREET, ANCHORAGE","LYNNWOOD DRIVE, ANCHORAGE",1300,1,1,0,0,0,0,0,0,2.1,2.1,0,0,0,0,0.65
2000,"B STREET, ANCHORAGE","WEST 38TH AVENUE, ANCHORAGE",2300,1,1,0,0,0,0,0,0,1.19,1.19,0,0,0,0,0.38
2000,"B STREET, ANCHORAGE","WEST 5TH AVENUE, ANCHORAGE",20800,10,7,3,1,2,0,5,0,1.31,0.92,0.39,0.26,0.13,0,0.76
2000,"B STREET, ANCHORAGE","WEST 6TH AVENUE, ANCHORAGE",12400,3,2,1,1,0,0,1,0,0.66,0.44,0.22,0,0.22,0,0.49
2000,"BARROW STREET, ANCHORAGE","EAST 36TH AVENUE, ANCHORAGE",2700,3,2,1,0,1,0,1,0,3.03,2.02,1.01,1.01,0,0,1.25
2000,"BARROW STREET, ANCHORAGE","EAST 3RD AVENUE, ANCHORAGE",6400,2,2,0,0,0,0,0,0,0.85,0.85,0,0,0,0,0.51
2000,"BARROW STREET, ANCHORAGE","EAST 4TH AVENUE, ANCHORAGE",7800,2,2,0,0,0,0,0,0,0.7,0.7,0,0,0,0,0.45
2000,"BAXTER ROAD, ANCHORAGE","EAST NORTHERN LIGHTS BOULEVARD, ANCHORAGE",25100,11,8,3,1,2,0,4,0,1.2,0.87,0.33,0.22,0.11,0,0.66
2000,"BAXTER ROAD, ANCHORAGE","EAST TUDOR ROAD, ANCHORAGE (SOUTH SIDE)",31000,24,18,6,0,6,0,6,0,2.12,1.59,0.53,0.53,0,0,1.22
2000,"BEAVER PLACE, ANCHORAGE","DEBARR ROAD, ANCHORAGE",22600,10,7,3,0,3,0,4,0,1.2,0.84,0.36,0.36,0,0,0.72
2000,"BERING STREET, ANCHORAGE","WEST NORTHERN LIGHTS BOULEVARD, ANCHORAGE",21500,3,3,0,0,0,0,0,0,0.38,0.38,0,0,0,0,0
2000,"BERING STREET, ANCHORAGE","WEST TUDOR ROAD, ANCHORAGE",30100,3,2,1,0,1,0,2,0,0.27,0.18,0.09,0.09,0,0,0.2
2000,"BIETINGER DRIVE, ANCHORAGE","WEST DIMOND BOULEVARD, ANCHORAGE",35000,21,19,2,0,2,0,3,0,1.64,1.48,0.16,0.16,0,0,1.05
2000,"BIRCHWOOD LOOP (SOUTH) ROAD, CHUGIAK","GLENN ER AT BIRCHWOOD LOOP (SOUTH), CHUGIAK",4900,3,2,1,1,0,0,1,0,1.68,1.12,0.56,0,0.56,0,0
2000,"BIRCHWOOD LOOP (SOUTH) ROAD, CHUGIAK","OLD GLENN HIGHWAY, CHUGIAK",5000,4,2,2,0,2,0,2,0,2.19,1.1,1.09,1.09,0,0,0
2000,"BIRCHWOOD STREET, ANCHORAGE","DEBARR ROAD, ANCHORAGE",30300,8,4,4,0,4,0,7,0,0.72,0.36,0.36,0.36,0,0,0.53
2000,"BLACKBERRY STREET, ANCHORAGE","WEST 88TH AVENUE, ANCHORAGE",6200,3,3,0,0,0,0,0,0,1.32,1.32,0,0,0,0,0.89
2000,"BLACKBERRY STREET, ANCHORAGE","WEST DIMOND BOULEVARD, ANCHORAGE",19000,8,6,2,0,2,0,2,0,1.14,0.86,0.28,0.28,0,0,0.77
2000,"BLUEBERRY ROAD, ANCHORAGE","WEST FIREWEED LANE, ANCHORAGE",14000,5,3,2,0,2,0,2,0,0.98,0.59,0.39,0.39,0,0,0.52
2000,"BONIFACE PARKWAY, ANCHORAGE","CARIBOU AVENUE, ANCHORAGE",21600,9,5,4,0,4,0,5,0,1.13,0.63,0.5,0.5,0,0,0.79
2000,"BONIFACE PARKWAY, ANCHORAGE","DEBARR ROAD, ANCHORAGE",42700,50,25,25,1,24,0,34,0,3.2,1.6,1.6,1.54,0.06,0,1.93
2000,"BONIFACE PARKWAY, ANCHORAGE","EAST 22ND AVENUE, ANCHORAGE",24100,1,1,0,0,0,0,0,0,0.11,0.11,0,0,0,0,0.1
2000,"BONIFACE PARKWAY, ANCHORAGE","EAST 24TH AVENUE, ANCHORAGE",23300,6,5,1,0,1,0,2,0,0.7,0.58,0.12,0.12,0,0,0.39
2000,"BONIFACE PARKWAY, ANCHORAGE","EAST 34TH AVENUE, ANCHORAGE",17300,4,4,0,0,0,0,0,0,0.64,0.64,0,0,0,0,0.32
2000,"BONIFACE PARKWAY, ANCHORAGE","EAST 4TH AVENUE, ANCHORAGE",21400,6,2,4,0,4,0,4,0,0.77,0.26,0.51,0.51,0,0,0.4
2000,"BONIFACE PARKWAY, ANCHORAGE","EAST 6TH AVENUE, ANCHORAGE",20200,11,10,1,0,1,0,1,0,1.49,1.35,0.14,0.14,0,0,1.01
2000,"BONIFACE PARKWAY, ANCHORAGE","EAST NORTHERN LIGHTS BOULEVARD, ANCHORAGE",44600,35,22,13,0,13,0,18,0,2.14,1.35,0.79,0.79,0,0,1.31
2000,"BONIFACE PARKWAY, ANCHORAGE","EAST TUDOR ROAD, ANCHORAGE",41500,23,17,6,0,6,0,8,0,1.51,1.12,0.39,0.39,0,0,0.91
2000,"BONIFACE PARKWAY, ANCHORAGE","GLENN SR AT BONIFACE, ANCHORAGE",20500,11,5,6,0,6,0,7,0,1.46,0.66,0.8,0.8,0,0,0.85
2000,"BOUNDARY AVENUE, ANCHORAGE","MULDOON ROAD, ANCHORAGE",29300,13,11,2,0,2,0,2,0,1.22,1.03,0.19,0.19,0,0,0.9
2000,"BOUNDARY AVENUE, ANCHORAGE","TURPIN STREET, ANCHORAGE",5300,7,6,1,0,1,0,1,0,3.61,3.09,0.52,0.52,0,0,1.64
2000,"BRAGAW STREET, ANCHORAGE","DEBARR ROAD, ANCHORAGE",41000,29,18,11,1,10,0,16,0,1.94,1.2,0.74,0.67,0.07,0,1.16
2000,"BRAGAW STREET, ANCHORAGE","EAST 16TH AVENUE, ANCHORAGE",17400,11,11,0,0,0,0,0,0,1.73,1.73,0,0,0,0,0
2000,"BRAGAW STREET, ANCHORAGE","EAST 20TH AVENUE, ANCHORAGE",23400,13,11,2,0,2,0,3,0,1.52,1.29,0.23,0.23,0,0,0.83
2000,"BRAGAW STREET, ANCHORAGE","EAST 4TH AVENUE, ANCHORAGE",14800,9,6,3,1,2,0,3,0,1.65,1.1,0.55,0.37,0.18,0,0
2000,"BRAGAW STREET, ANCHORAGE","EAST 6TH AVENUE, ANCHORAGE",18800,5,4,1,0,1,0,1,0,0.73,0.58,0.15,0.15,0,0,0
2000,"BRAGAW STREET, ANCHORAGE","EAST 8TH AVENUE, ANCHORAGE",20300,3,3,0,0,0,0,0,0,0.4,0.4,0,0,0,0,0
2000,"BRAGAW STREET, ANCHORAGE","EAST 9TH AVENUE, ANCHORAGE",15100,3,3,0,0,0,0,0,0,0.54,0.54,0,0,0,0,0
2000,"BRAGAW STREET, ANCHORAGE","EAST NORTHERN LIGHTS BOULEVARD, ANCHORAGE",43100,44,34,10,0,10,0,11,0,2.79,2.15,0.64,0.64,0,0,1.85
2000,"BRAGAW STREET, ANCHORAGE","GLENN SR AT BRAGAW, ANCHORAGE",49500,39,29,10,0,10,0,16,0,2.16,1.6,0.56,0.56,0,0,2.26
2000,"BRAGAW STREET, ANCHORAGE","MOUNTAIN VIEW DRIVE, ANCHORAGE",21300,12,5,7,0,7,0,11,0,1.53,0.64,0.89,0.89,0,0,0.82
2000,"BRAGAW STREET, ANCHORAGE","PENLAND PARKWAY, ANCHORAGE",25600,15,10,5,0,5,0,6,0,1.6,1.06,0.54,0.54,0,0,0.89
2000,"BRAGAW STREET, ANCHORAGE","REKA DRIVE, ANCHORAGE",23700,8,7,1,0,1,0,2,0,0.93,0.81,0.12,0.12,0,0,0.5
2000,"BRAGAW STREET, ANCHORAGE","SAN JERONIMO DRIVE, ANCHORAGE",18900,4,4,0,0,0,0,0,0,0.58,0.58,0,0,0,0,0
2000,"BRAYTON DRIVE, ANCHORAGE","ABBOTT ROAD, ANCHORAGE",12000,6,6,0,0,0,0,0,0,1.37,1.37,0,0,0,0,1.1
2000,"BUSINESS BOULEVARD, EAGLE RIVER","OLD GLENN HIGHWAY, EAGLE RIVER (SOUTH SIDE)",21300,10,6,4,0,4,0,4,0,1.27,0.76,0.51,0.51,0,0,0.68
2000,"C STREET, ANCHORAGE","O'MALLEY EB (WEST SIDE), ANCHORAGE",15400,6,4,2,0,2,0,4,0,1.05,0.7,0.35,0.35,0,0,0.57
2000,"C STREET, ANCHORAGE","O'MALLEY WB (EAST SIDE), ANCHORAGE",13500,8,7,1,0,1,0,1,0,1.62,1.42,0.2,0.2,0,0,0.84
2000,"C STREET, ANCHORAGE","RASPBERRY ROAD, ANCHORAGE",14700,11,6,5,0,5,0,5,0,2.04,1.11,0.93,0.93,0,0,1.01
